id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
1040624808363695229,Safe - Sweet -Serene - Long Term,42708277,Rodney,SIXTH WARD,42.65447,-73.76078,Entire home/apt,62.0,1,46,50
1043565517982254841,2 bed room Apartment,212885959,Osas,SECOND WARD,42.63976,-73.75705,Entire home/apt,94.0,1,19,101
1051544181986274174,Renovated Cozy 1920’s Apartment,31994990,Gonca,SEVENTH WARD,42.64478,-73.7764,Entire home/apt,53.0,28,1,88
1052381112116173923,Charming Bungalow in Albany!,52464523,Dashima,FIRST WARD,42.64081,-73.77463,Entire home/apt,114.0,30,9,233
1056068682616336229,two private bedrooms near hospitals & schools,20536619,Emily,THIRTEENTH WARD,42.6714,-73.79431,Private room,106.0,5,1,69
1056469473906808728,"Bonjour, Bienvenue A Chez Pierre",553112010,Lynn,TWELFTH WARD,42.7149,-73.87649,Private room,87.0,2,1,268
1061814091773376272,Massive 5BD/4BA 3-Story Duplex @ Downtown Albany,44434571,Earl,SECOND WARD,42.64418,-73.75316,Entire home/apt,307.0,1,17,324
1062527013885315764,"private twin room near hospitals, schools",20536619,Emily,THIRTEENTH WARD,42.67096,-73.79514,Private room,51.0,7,12,179
1072781767409521866,The Bluebird’s Nest,426223840,Antonio,ELEVENTH WARD,42.663915656143736,-73.77786945551634,Entire home/apt,77.0,1,39,247
1073179963201889958,In the heart of Albany,31994990,Gonca,SEVENTH WARD,42.64473,-73.77641,Entire home/apt,53.0,20,2,132
1075444056381274297,The Tangerine Door,542733174,Rebecca,TWELFTH WARD,42.67908,-73.79505,Entire home/apt,140.0,2,22,110
1079742757364810916,Lark St Oasis: Parking & Laundry,119340359,Lori,SIXTH WARD,42.65531,-73.76449,Entire home/apt,148.0,2,7,0
1090781013234004527,Newly renovated cozy apartment !,521669673,Kody,THIRD WARD,42.65975,-73.76311,Entire home/apt,75.0,14,1,252
1090800410444414860,Work hard and relax !,521669673,Kody,THIRD WARD,42.65874,-73.76302,Entire home/apt,68.0,14,0,268
1091422934956081673,2 bed with parking off Madison,232967878,Diana,TENTH WARD,42.65988,-73.78486,Entire home/apt,136.0,2,16,66
1091500387329731524,Triplex oasis w:parking near MVP,232967878,Diana,SECOND WARD,42.64409,-73.75709,Entire home/apt,76.0,2,60,48
1097995825442731795,New Center square studio,232967878,Diana,SIXTH WARD,42.65269,-73.76567,Entire home/apt,93.0,2,43,44
1100876731732967826,"Homey, Quiet 2BR W/ Washer Dryer",152762198,Allen,FOURTEENTH WARD,42.67008,-73.80691,Entire home/apt,94.0,3,28,145
1102984130027939637,Lovely 1 bedroom across the Park,37769478,Erion,SIXTH WARD,42.65289,-73.76834,Entire home/apt,71.0,1,47,353
